« Index,Raw,MA
0,20.00,20.00
1,20.30,20.15
2,19.80,20.03
3,20.50,20.15
4,19.60,20.04
5,20.20,20.08
6,20.00,20.02
7,20.40,20.14
8,19.90,20.02
9,20.10,20.12
10,21.00,20.28
11,22.50,20.78
12,21.80,21.06
13,24.00,21.88
14,23.20,22.50
15,26.00,23.50
16,25.00,24.00
17,28.50,25.34
18,27.20,25.98
19,30.00,27.34
20,28.80,27.90
21,32.00,29.30
22,30.50,29.70
23,34.00,31.06
24,32.80,31.62
25,36.50,33.16
26,34.70,33.70
27,38.00,35.20
28,36.20,35.64
29,40.00,37.08
30,38.50,37.48
31,42.00,38.94
32,40.00,39.34
33,44.50,41.00
34,42.80,41.56
35,47.00,43.26
36,45.00,43.86
37,49.00,45.66
38,46.80,46.12
39,51.00,47.76
40,48.50,48.06
41,52.50,49.56
42,50.20,49.80
43,54.00,51.24
44,51.80,51.40
45,55.50,52.80
46,53.00,52.90
47,56.00,54.06
48,54.20,54.10
49,57.50,55.24
50,55.80,55.30
51,58.00,56.30
52,56.50,56.40
53,59.00,57.36
54,57.20,57.30
55,60.00,58.14
56,58.00,58.14
57,61.50,59.14
58,59.00,59.14
59,62.00,60.10
60,60.50,60.20
61,63.00,61.20
62,61.00,61.10
63,64.00,62.10
64,62.20,62.14
65,65.00,63.04
66,63.00,63.04
67,64.50,63.74
68,62.80,63.50
69,65.50,64.16
70,64.00,63.96
71,63.50,64.06
72,65.00,64.16
73,62.50,64.10
74,64.20,63.84
75,61.80,63.40
76,63.00,63.30
77,60.50,62.40
78,62.00,62.30
79,59.00,61.26
80,60.50,61.00
81,57.50,59.90
82,59.00,59.60
83,55.00,58.20
84,56.50,57.70
85,52.50,56.10
86,54.00,55.40
87,50.00,53.60
88,51.50,52.90
89,47.50,51.10
90,49.00,50.40
91,44.50,48.50
92,46.00,47.70
93,41.50,45.70
94,43.00,44.80
95,38.50,42.70
96,40.00,41.80
97,35.50,39.70
98,37.00,38.80
99,32.50,36.70
100,34.00,35.80
101,29.50,33.70
102,31.00,32.80
103,26.50,30.70
104,28.00,29.80
105,24.00,27.80
106,25.50,27.00
107,22.00,25.20
108,23.00,24.50
109,20.50,23.00
