« Index,Raw,Kalman
0,25.00,25.00
1,25.60,25.04
2,24.30,24.99
3,26.20,25.09
4,23.80,24.97
5,25.50,25.01
6,24.70,24.99
7,26.80,25.23
8,23.50,25.00
9,25.10,25.02
10,24.20,24.95
11,27.10,25.42
12,25.70,25.44
13,23.90,25.26
14,26.50,25.39
15,24.80,25.34
16,25.30,25.34
17,22.90,24.42
18,27.40,25.71
19,24.60,25.63
20,55.00,25.63
21,25.20,25.60
22,24.40,25.51
23,26.10,25.55
24,23.60,25.26
25,25.80,25.30
26,24.90,25.27
27,27.00,25.48
28,23.40,25.08
29,25.00,25.07
30,24.10,24.98
31,26.70,25.21
32,25.50,25.24
33,23.70,25.06
34,27.20,25.53
35,24.50,25.43
36,-5.00,25.43
37,25.40,25.43
38,24.80,25.38
39,26.00,25.43
40,23.30,24.99
41,25.70,25.05
42,24.20,24.98
43,27.60,26.16
44,25.10,26.09
45,23.90,25.65
46,26.40,25.70
47,24.60,25.61
48,25.80,25.63
49,23.50,25.20
50,25.00,25.19
51,24.40,25.13
52,26.90,25.36
53,23.80,25.18
54,25.60,25.21
55,24.70,25.17
56,27.30,25.61
57,25.20,25.58
58,23.60,25.24
59,26.10,25.32
60,65.00,25.32
61,24.90,25.28
62,25.50,25.30
63,23.70,25.12
64,26.80,25.33
65,24.30,25.24
66,25.90,25.29
67,23.20,24.88
68,27.00,25.33
69,24.80,25.28
70,25.30,25.29
71,26.50,25.40
72,23.90,25.23
73,25.70,25.27
74,24.60,25.22
75,27.20,25.55
76,23.50,25.16
77,25.10,25.15
78,24.40,25.08
79,26.00,25.16
80,24.70,25.13
81,25.60,25.16
82,23.80,25.03
83,26.60,25.21
84,24.20,25.12
85,25.40,25.14
86,27.10,25.47
87,23.60,25.17
88,25.00,25.15
89,24.50,25.09
90,26.30,25.21
91,23.90,25.07
92,25.80,25.14
93,24.70,25.10
94,27.40,25.74
95,25.20,25.70
96,23.50,25.20
97,26.10,25.28
98,24.30,25.19
99,25.00,25.18
