« Index,Raw,Kalman
0,20.00,21.67
1,20.30,20.98
2,19.80,20.45
3,20.50,20.47
4,19.60,20.09
5,20.20,20.14
6,20.00,20.08
7,20.40,20.22
8,19.90,20.08
9,20.10,20.09
10,21.00,20.48
11,22.50,21.36
12,21.80,21.55
13,24.00,22.61
14,23.20,22.87
15,26.00,24.23
16,25.00,24.56
17,28.50,26.27
18,27.20,26.68
19,30.00,28.12
20,28.80,28.41
21,32.00,29.97
22,30.50,30.20
23,34.00,31.85
24,32.80,32.26
25,36.50,34.10
26,34.70,34.36
27,38.00,35.94
28,36.20,36.05
29,40.00,37.77
30,38.50,38.09
31,42.00,39.79
32,40.00,39.88
33,44.50,41.89
34,42.80,42.28
35,47.00,44.33
36,45.00,44.62
37,49.00,46.52
38,46.80,46.64
39,51.00,48.54
40,48.50,48.52
41,52.50,50.25
42,50.20,50.23
43,54.00,51.87
44,51.80,51.84
45,55.50,53.43
46,53.00,53.24
47,56.00,54.44
48,54.20,54.34
49,57.50,55.71
50,55.80,55.75
51,58.00,56.73
52,56.50,56.63
53,59.00,57.66
54,57.20,57.46
55,60.00,58.56
56,58.00,58.32
57,61.50,59.70
58,59.00,59.40
59,62.00,60.53
60,60.50,60.52
61,63.00,61.59
62,61.00,61.34
63,64.00,62.49
64,62.20,62.37
65,65.00,63.51
66,63.00,63.29
67,64.50,63.81
68,62.80,63.37
69,65.50,64.30
70,64.00,64.17
71,63.50,63.88
72,65.00,64.37
73,62.50,63.56
74,64.20,63.84
75,61.80,62.95
76,63.00,62.97
77,60.50,61.90
78,62.00,61.94
79,59.00,60.66
80,60.50,60.59
81,57.50,59.25
82,59.00,59.14
83,55.00,57.34
84,56.50,56.98
85,52.50,55.03
86,54.00,54.58
87,50.00,52.59
88,51.50,52.12
89,47.50,50.11
90,49.00,49.63
91,44.50,47.40
92,46.00,46.79
93,41.50,44.49
94,43.00,43.85
95,38.50,41.52
96,40.00,40.86
97,35.50,38.53
98,37.00,37.87
99,32.50,35.54
100,34.00,34.87
101,29.50,32.54
102,31.00,31.87
103,26.50,29.54
104,28.00,28.87
105,24.00,26.76
106,25.50,26.21
107,22.00,24.38
108,23.00,23.78
109,20.50,22.36
