« Index,Raw,Kalman
0,20.00,20.00
1,20.30,20.02
2,19.80,20.01
3,20.50,20.04
4,19.60,20.01
5,20.20,20.02
6,20.00,20.02
7,20.40,20.04
8,19.90,20.03
9,20.10,20.04
10,21.00,20.10
11,22.50,20.84
12,21.80,20.91
13,24.00,22.23
14,23.20,22.29
15,26.00,23.81
16,25.00,23.90
17,28.50,25.78
18,27.20,25.90
19,30.00,27.60
20,28.80,27.68
21,32.00,29.46
22,30.50,29.53
23,34.00,31.35
24,32.80,31.46
25,36.50,33.55
26,34.70,33.63
27,38.00,35.42
28,36.20,35.47
29,40.00,37.29
30,38.50,37.37
31,42.00,39.26
32,40.00,39.30
33,44.50,41.39
34,42.80,41.50
35,47.00,43.76
36,45.00,43.85
37,49.00,45.97
38,46.80,46.02
39,51.00,48.03
40,48.50,48.05
41,52.50,49.82
42,50.20,49.84
43,54.00,51.48
44,51.80,51.50
45,55.50,53.07
46,53.00,53.04
47,56.00,54.20
48,54.20,54.20
49,57.50,55.49
50,55.80,55.50
51,58.00,56.47
52,56.50,56.48
53,59.00,57.47
54,57.20,57.45
55,60.00,58.45
56,58.00,58.43
57,61.50,59.64
58,59.00,59.60
59,62.00,60.29
60,60.50,60.31
61,63.00,61.41
62,61.00,61.39
63,64.00,62.43
64,62.20,62.42
65,65.00,63.44
66,63.00,63.41
67,64.50,63.48
68,62.80,63.44
69,65.50,63.77
70,64.00,63.78
71,63.50,63.76
72,65.00,63.87
73,62.50,63.74
74,64.20,63.77
75,61.80,63.46
76,63.00,63.42
77,60.50,62.11
78,62.00,62.07
79,59.00,60.85
80,60.50,60.83
81,57.50,59.52
82,59.00,59.49
83,55.00,57.72
84,56.50,57.63
85,52.50,55.55
86,54.00,55.42
87,50.00,53.16
88,51.50,53.00
89,47.50,50.68
90,49.00,50.51
91,44.50,47.96
92,46.00,47.70
93,41.50,45.04
94,43.00,44.73
95,38.50,42.04
96,40.00,41.73
97,35.50,39.04
98,37.00,38.73
99,32.50,36.04
100,34.00,35.73
101,29.50,33.04
102,31.00,32.73
103,26.50,30.04
104,28.00,29.73
105,24.00,27.26
106,25.50,27.06
107,22.00,24.90
108,23.00,24.66
109,20.50,22.87
