« Index,Raw,Median
0,25.00,25.00
1,25.60,25.30
2,24.30,25.00
3,26.20,25.30
4,23.80,25.00
5,25.50,25.50
6,24.70,24.70
7,26.80,25.50
8,23.50,24.70
9,25.10,25.10
10,24.20,24.70
11,27.10,25.10
12,25.70,25.10
13,23.90,25.10
14,26.50,25.70
15,24.80,25.70
16,25.30,25.30
17,22.90,24.80
18,27.40,25.30
19,24.60,24.80
20,55.00,25.30
21,25.20,25.20
22,24.40,25.20
23,26.10,25.20
24,23.60,25.20
25,25.80,25.20
26,24.90,24.90
27,27.00,25.80
28,23.40,24.90
29,25.00,25.00
30,24.10,24.90
31,26.70,25.00
32,25.50,25.00
33,23.70,25.00
34,27.20,25.50
35,24.50,25.50
36,-5.00,24.50
37,25.40,24.50
38,24.80,24.80
39,26.00,24.80
40,23.30,24.80
41,25.70,25.40
42,24.20,24.80
43,27.60,25.70
44,25.10,25.10
45,23.90,25.10
46,26.40,25.10
47,24.60,25.10
48,25.80,25.10
49,23.50,24.60
50,25.00,25.00
51,24.40,24.60
52,26.90,25.00
53,23.80,24.40
54,25.60,25.00
55,24.70,24.70
56,27.30,25.60
57,25.20,25.20
58,23.60,25.20
59,26.10,25.20
60,65.00,26.10
61,24.90,25.20
62,25.50,25.50
63,23.70,25.50
64,26.80,25.50
65,24.30,24.90
66,25.90,25.50
67,23.20,24.30
68,27.00,25.90
69,24.80,24.80
70,25.30,25.30
71,26.50,25.30
72,23.90,25.30
73,25.70,25.30
74,24.60,25.30
75,27.20,25.70
76,23.50,24.60
77,25.10,25.10
78,24.40,24.60
79,26.00,25.10
80,24.70,24.70
81,25.60,25.10
82,23.80,24.70
83,26.60,25.60
84,24.20,24.70
85,25.40,25.40
86,27.10,25.40
87,23.60,25.40
88,25.00,25.00
89,24.50,25.00
90,26.30,25.00
91,23.90,24.50
92,25.80,25.00
93,24.70,24.70
94,27.40,25.80
95,25.20,25.20
96,23.50,25.20
97,26.10,25.20
98,24.30,25.20
99,25.00,25.00
