« Index,Raw,Kalman
0,20.00,20.00
1,20.30,20.00
2,19.80,20.00
3,20.50,20.01
4,19.60,20.00
5,20.20,20.01
6,20.00,20.01
7,20.40,20.02
8,19.90,20.02
9,20.10,20.02
10,21.00,20.08
11,22.50,20.50
12,21.80,20.69
13,24.00,21.98
14,23.20,22.22
15,26.00,24.28
16,25.00,24.41
17,28.50,27.06
18,27.20,27.08
19,30.00,28.02
20,28.80,28.16
21,32.00,30.30
22,30.50,30.34
23,34.00,32.16
24,32.80,32.28
25,36.50,35.25
26,34.70,35.18
27,38.00,36.01
28,36.20,36.04
29,40.00,38.39
30,38.50,38.41
31,42.00,40.11
32,40.00,40.09
33,44.50,43.60
34,42.80,43.51
35,47.00,44.94
36,45.00,44.95
37,49.00,47.49
38,46.80,47.38
39,51.00,49.11
40,48.50,49.00
41,52.50,50.61
42,50.20,50.53
43,54.00,52.11
44,51.80,52.05
45,55.50,53.61
46,53.00,53.49
47,56.00,54.21
48,54.20,54.21
49,57.50,55.56
50,55.80,55.61
51,58.00,56.26
52,56.50,56.30
53,59.00,57.12
54,57.20,57.14
55,60.00,58.09
56,58.00,58.07
57,61.50,59.60
58,59.00,59.49
59,62.00,60.21
60,60.50,60.26
61,63.00,61.12
62,61.00,61.10
63,64.00,62.08
64,62.20,62.10
65,65.00,63.09
66,63.00,63.07
67,64.50,63.35
68,62.80,63.26
69,65.50,63.78
70,64.00,63.82
71,63.50,63.77
72,65.00,63.96
73,62.50,63.72
74,64.20,63.79
75,61.80,63.40
76,63.00,63.34
77,60.50,62.47
78,62.00,62.39
79,59.00,60.93
80,60.50,60.85
81,57.50,59.42
82,59.00,59.34
83,55.00,56.03
84,56.50,56.08
85,52.50,54.50
86,54.00,54.41
87,50.00,50.90
88,51.50,50.96
89,47.50,49.58
90,49.00,49.48
91,44.50,45.28
92,46.00,45.34
93,41.50,43.42
94,43.00,43.35
95,38.50,39.27
96,40.00,39.33
97,35.50,37.42
98,37.00,37.36
99,32.50,33.27
100,34.00,33.33
101,29.50,31.42
102,31.00,31.36
103,26.50,27.27
104,28.00,27.33
105,24.00,26.15
106,25.50,26.04
107,22.00,23.53
108,23.00,23.45
109,20.50,22.48
